Month	L	M	S	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
139	-1.7861	17.2734	0.11342	12.204	13.241	14.278	15.578	17.273	19.607	23.104	29.169	35.235
140	-1.7846	17.324	0.11379	12.228	13.27	14.312	15.619	17.324	19.674	23.199	29.329	35.46
141	-1.7828	17.3752	0.11415	12.253	13.3	14.347	15.66	17.375	19.741	23.293	29.487	35.681
142	-1.7806	17.4272	0.11451	12.278	13.33	14.382	15.702	17.427	19.808	23.389	29.645	35.901
143	-1.778	17.4799	0.11487	12.303	13.36	14.417	15.745	17.48	19.877	23.485	29.802	36.119
144	-1.7751	17.5334	0.11522	12.328	13.391	14.453	15.788	17.533	19.946	23.581	29.957	36.333
145	-1.7719	17.5877	0.11556	12.355	13.422	14.49	15.833	17.588	20.015	23.677	30.11	36.542
146	-1.7684	17.6427	0.1159	12.381	13.454	14.528	15.877	17.643	20.086	23.774	30.262	36.75
147	-1.7645	17.6985	0.11623	12.408	13.487	14.566	15.923	17.698	20.157	23.871	30.412	36.952
148	-1.7604	17.7551	0.11656	12.436	13.52	14.605	15.969	17.755	20.229	23.969	30.561	37.154
149	-1.7559	17.8124	0.11688	12.464	13.554	14.644	16.016	17.812	20.302	24.067	30.708	37.349
150	-1.7511	17.8704	0.1172	12.492	13.588	14.684	16.063	17.87	20.375	24.165	30.854	37.543
151	-1.7461	17.9292	0.11751	12.52	13.622	14.724	16.112	17.929	20.449	24.263	30.998	37.732
152	-1.7408	17.9887	0.11781	12.55	13.658	14.766	16.161	17.989	20.524	24.362	31.138	37.915
153	-1.7352	18.0488	0.11811	12.579	13.693	14.807	16.21	18.049	20.599	24.46	31.278	38.096
154	-1.7293	18.1096	0.11841	12.609	13.729	14.849	16.26	18.11	20.675	24.559	31.417	38.275
155	-1.7232	18.171	0.11869	12.639	13.766	14.892	16.311	18.171	20.751	24.658	31.551	38.444
156	-1.7168	18.233	0.11898	12.669	13.802	14.935	16.362	18.233	20.829	24.757	31.686	38.616
157	-1.7102	18.2955	0.11925	12.7	13.839	14.979	16.414	18.296	20.906	24.856	31.816	38.777
158	-1.7033	18.3586	0.11952	12.731	13.877	15.023	16.466	18.359	20.984	24.954	31.945	38.936
159	-1.6962	18.4221	0.11979	12.762	13.915	15.067	16.519	18.422	21.062	25.053	32.073	39.093
160	-1.6888	18.486	0.12005	12.794	13.953	15.112	16.572	18.486	21.14	25.152	32.197	39.243
161	-1.6811	18.5502	0.1203	12.825	13.991	15.157	16.625	18.55	21.219	25.249	32.317	39.385
162	-1.6732	18.6148	0.12055	12.857	14.029	15.202	16.679	18.615	21.298	25.347	32.436	39.525
163	-1.6651	18.6795	0.12079	12.889	14.068	15.247	16.733	18.68	21.376	25.444	32.551	39.659
164	-1.6568	18.7445	0.12102	12.921	14.107	15.293	16.787	18.744	21.455	25.54	32.663	39.786
