Gender,Month,L,M,S,SD,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
1,0,1,34.4618,0.03686,1.2703,30.7,31.9,33.2,34.5,35.7,37.0,38.3
1,1,1,37.2759,0.03133,1.1679,33.8,34.9,36.1,37.3,38.4,39.6,40.8
1,2,1,39.1285,0.02997,1.1727,35.6,36.8,38.0,39.1,40.3,41.5,42.6
1,3,1,40.5135,0.02918,1.1822,37.0,38.1,39.3,40.5,41.7,42.9,44.1
1,4,1,41.6317,0.02868,1.1940,38.0,39.2,40.4,41.6,42.8,44.0,45.2
1,5,1,42.5576,0.02837,1.2074,38.9,40.1,41.4,42.6,43.8,45.0,46.2
1,6,1,43.3306,0.02817,1.2206,39.7,40.9,42.1,43.3,44.6,45.8,47.0
1,7,1,43.9803,0.02804,1.2332,40.3,41.5,42.7,44.0,45.2,46.4,47.7
1,8,1,44.5300,0.02796,1.2451,40.8,42.0,43.3,44.5,45.8,47.0,48.3
1,9,1,44.9998,0.02792,1.2564,41.2,42.5,43.7,45.0,46.3,47.5,48.8
1,10,1,45.4051,0.02790,1.2668,41.6,42.9,44.1,45.4,46.7,47.9,49.2
1,11,1,45.7573,0.02789,1.2762,41.9,43.2,44.5,45.8,47.0,48.3,49.6
1,12,1,46.0661,0.02789,1.2848,42.2,43.5,44.8,46.1,47.4,48.6,49.9
1,13,1,46.3395,0.02789,1.2924,42.5,43.8,45.0,46.3,47.6,48.9,50.2
1,14,1,46.5844,0.02791,1.3002,42.7,44.0,45.3,46.6,47.9,49.2,50.5
1,15,1,46.8060,0.02792,1.3068,42.9,44.2,45.5,46.8,48.1,49.4,50.7
1,16,1,47.0088,0.02795,1.3139,43.1,44.4,45.7,47.0,48.3,49.6,51.0
1,17,1,47.1962,0.02797,1.3201,43.2,44.6,45.9,47.2,48.5,49.8,51.2
1,18,1,47.3711,0.02800,1.3264,43.4,44.7,46.0,47.4,48.7,50.0,51.4
1,19,1,47.5357,0.02803,1.3324,43.5,44.9,46.2,47.5,48.9,50.2,51.5
1,20,1,47.6919,0.02806,1.3382,43.7,45.0,46.4,47.7,49.0,50.4,51.7
1,21,1,47.8408,0.02810,1.3443,43.8,45.2,46.5,47.8,49.2,50.5,51.9
1,22,1,47.9833,0.02813,1.3498,43.9,45.3,46.6,48.0,49.3,50.7,52.0
1,23,1,48.1201,0.02817,1.3555,44.1,45.4,46.8,48.1,49.5,50.8,52.2
1,24,1,48.2515,0.02821,1.3612,44.2,45.5,46.9,48.3,49.6,51.0,52.3
1,25,1,48.3777,0.02825,1.3667,44.3,45.6,47.0,48.4,49.7,51.1,52.5
1,26,1,48.4989,0.02830,1.3725,44.4,45.8,47.1,48.5,49.9,51.2,52.6
1,27,1,48.6151,0.02834,1.3778,44.5,45.9,47.2,48.6,50.0,51.4,52.7
1,28,1,48.7264,0.02838,1.3829,44.6,46.0,47.3,48.7,50.1,51.5,52.9
1,29,1,48.8331,0.02842,1.3878,44.7,46.1,47.4,48.8,50.2,51.6,53.0
1,30,1,48.9351,0.02847,1.3932,44.8,46.1,47.5,48.9,50.3,51.7,53.1
1,31,1,49.0327,0.02851,1.3979,44.8,46.2,47.6,49.0,50.4,51.8,53.2
1,32,1,49.1260,0.02855,1.4026,44.9,46.3,47.7,49.1,50.5,51.9,53.3
1,33,1,49.2153,0.02859,1.4071,45.0,46.4,47.8,49.2,50.6,52.0,53.4
1,34,1,49.3007,0.02863,1.4115,45.1,46.5,47.9,49.3,50.7,52.1,53.5
1,35,1,49.3826,0.02867,1.4158,45.1,46.6,48.0,49.4,50.8,52.2,53.6
1,36,1,49.4612,0.02871,1.4200,45.2,46.6,48.0,49.5,50.9,52.3,53.7
1,37,1,49.5367,0.02875,1.4242,45.3,46.7,48.1,49.5,51.0,52.4,53.8
1,38,1,49.6093,0.02878,1.4278,45.3,46.8,48.2,49.6,51.0,52.5,53.9
1,39,1,49.6791,0.02882,1.4318,45.4,46.8,48.2,49.7,51.1,52.5,54.0
1,40,1,49.7465,0.02886,1.4357,45.4,46.9,48.3,49.7,51.2,52.6,54.1
1,41,1,49.8116,0.02889,1.4391,45.5,46.9,48.4,49.8,51.3,52.7,54.1
1,42,1,49.8745,0.02893,1.4429,45.5,47.0,48.4,49.9,51.3,52.8,54.2
1,43,1,49.9354,0.02896,1.4461,45.6,47.0,48.5,49.9,51.4,52.8,54.3
1,44,1,49.9942,0.02899,1.4493,45.6,47.1,48.5,50.0,51.4,52.9,54.3
1,45,1,50.0512,0.02903,1.4530,45.7,47.1,48.6,50.1,51.5,53.0,54.4
1,46,1,50.1064,0.02906,1.4561,45.7,47.2,48.7,50.1,51.6,53.0,54.5
1,47,1,50.1598,0.02909,1.4592,45.8,47.2,48.7,50.2,51.6,53.1,54.5
1,48,1,50.2115,0.02912,1.4622,45.8,47.3,48.7,50.2,51.7,53.1,54.6
1,49,1,50.2617,0.02915,1.4651,45.9,47.3,48.8,50.3,51.7,53.2,54.7
1,50,1,50.3105,0.02918,1.4681,45.9,47.4,48.8,50.3,51.8,53.2,54.7
1,51,1,50.3578,0.02921,1.4710,45.9,47.4,48.9,50.4,51.8,53.3,54.8
1,52,1,50.4039,0.02924,1.4738,46.0,47.5,48.9,50.4,51.9,53.4,54.8
1,53,1,50.4488,0.02927,1.4766,46.0,47.5,49.0,50.4,51.9,53.4,54.9
1,54,1,50.4926,0.02929,1.4789,46.1,47.5,49.0,50.5,52.0,53.5,54.9
1,55,1,50.5354,0.02932,1.4817,46.1,47.6,49.1,50.5,52.0,53.5,55.0
1,56,1,50.5772,0.02935,1.4844,46.1,47.6,49.1,50.6,52.1,53.5,55.0
1,57,1,50.6183,0.02938,1.4872,46.2,47.6,49.1,50.6,52.1,53.6,55.1
1,58,1,50.6587,0.02940,1.4894,46.2,47.7,49.2,50.7,52.1,53.6,55.1
1,59,1,50.6984,0.02943,1.4921,46.2,47.7,49.2,50.7,52.2,53.7,55.2
1,60,1,50.7375,0.02946,1.4947,46.3,47.7,49.2,50.7,52.2,53.7,55.2
2,0,1,33.8787,0.03496,1.1844,30.3,31.5,32.7,33.9,35.1,36.2,37.4
2,1,1,36.5463,0.03210,1.1731,33.0,34.2,35.4,36.5,37.7,38.9,40.1
2,2,1,38.2521,0.03168,1.2118,34.6,35.8,37.0,38.3,39.5,40.7,41.9
2,3,1,39.5328,0.03140,1.2413,35.8,37.1,38.3,39.5,40.8,42.0,43.3
2,4,1,40.5817,0.03119,1.2657,36.8,38.1,39.3,40.6,41.8,43.1,44.4
2,5,1,41.4590,0.03102,1.2861,37.6,38.9,40.2,41.5,42.7,44.0,45.3
2,6,1,42.1995,0.03087,1.3027,38.3,39.6,40.9,42.2,43.5,44.8,46.1
2,7,1,42.8290,0.03075,1.3170,38.9,40.2,41.5,42.8,44.1,45.5,46.8
2,8,1,43.3671,0.03063,1.3283,39.4,40.7,42.0,43.4,44.7,46.0,47.4
2,9,1,43.8300,0.03053,1.3381,39.8,41.2,42.5,43.8,45.2,46.5,47.8
2,10,1,44.2319,0.03044,1.3464,40.2,41.5,42.9,44.2,45.6,46.9,48.3
2,11,1,44.5844,0.03035,1.3531,40.5,41.9,43.2,44.6,45.9,47.3,48.6
2,12,1,44.8965,0.03027,1.3590,40.8,42.2,43.5,44.9,46.3,47.6,49.0
2,13,1,45.1752,0.03019,1.3638,41.1,42.4,43.8,45.2,46.5,47.9,49.3
2,14,1,45.4265,0.03012,1.3683,41.3,42.7,44.1,45.4,46.8,48.2,49.5
2,15,1,45.6551,0.03006,1.3724,41.5,42.9,44.3,45.7,47.0,48.4,49.8
2,16,1,45.8650,0.02999,1.3755,41.7,43.1,44.5,45.9,47.2,48.6,50.0
2,17,1,46.0598,0.02993,1.3786,41.9,43.3,44.7,46.1,47.4,48.8,50.2
2,18,1,46.2424,0.02987,1.3813,42.1,43.5,44.9,46.2,47.6,49.0,50.4
2,19,1,46.4152,0.02982,1.3841,42.3,43.6,45.0,46.4,47.8,49.2,50.6
2,20,1,46.5801,0.02977,1.3867,42.4,43.8,45.2,46.6,48.0,49.4,50.7
2,21,1,46.7384,0.02972,1.3891,42.6,44.0,45.3,46.7,48.1,49.5,50.9
2,22,1,46.8913,0.02967,1.3913,42.7,44.1,45.5,46.9,48.3,49.7,51.1
2,23,1,47.0391,0.02962,1.3933,42.9,44.3,45.6,47.0,48.4,49.8,51.2
2,24,1,47.1822,0.02957,1.3952,43.0,44.4,45.8,47.2,48.6,50.0,51.4
2,25,1,47.3204,0.02953,1.3974,43.1,44.5,45.9,47.3,48.7,50.1,51.5
2,26,1,47.4536,0.02949,1.3994,43.3,44.7,46.1,47.5,48.9,50.3,51.7
2,27,1,47.5817,0.02945,1.4013,43.4,44.8,46.2,47.6,49.0,50.4,51.8
2,28,1,47.7045,0.02941,1.4030,43.5,44.9,46.3,47.7,49.1,50.5,51.9
2,29,1,47.8219,0.02937,1.4045,43.6,45.0,46.4,47.8,49.2,50.6,52.0
2,30,1,47.9340,0.02933,1.4059,43.7,45.1,46.5,47.9,49.3,50.7,52.2
2,31,1,48.0410,0.02929,1.4071,43.8,45.2,46.6,48.0,49.4,50.9,52.3
2,32,1,48.1432,0.02926,1.4087,43.9,45.3,46.7,48.1,49.6,51.0,52.4
2,33,1,48.2408,0.02922,1.4096,44.0,45.4,46.8,48.2,49.7,51.1,52.5
2,34,1,48.3343,0.02919,1.4109,44.1,45.5,46.9,48.3,49.7,51.2,52.6
2,35,1,48.4239,0.02915,1.4116,44.2,45.6,47.0,48.4,49.8,51.2,52.7
2,36,1,48.5099,0.02912,1.4126,44.3,45.7,47.1,48.5,49.9,51.3,52.7
2,37,1,48.5926,0.02909,1.4136,44.4,45.8,47.2,48.6,50.0,51.4,52.8
2,38,1,48.6722,0.02906,1.4144,44.4,45.8,47.3,48.7,50.1,51.5,52.9
2,39,1,48.7489,0.02903,1.4152,44.5,45.9,47.3,48.7,50.2,51.6,53.0
2,40,1,48.8228,0.02900,1.4159,44.6,46.0,47.4,48.8,50.2,51.7,53.1
2,41,1,48.8941,0.02897,1.4165,44.6,46.1,47.5,48.9,50.3,51.7,53.1
2,42,1,48.9629,0.02894,1.4170,44.7,46.1,47.5,49.0,50.4,51.8,53.2
2,43,1,49.0294,0.02891,1.4174,44.8,46.2,47.6,49.0,50.4,51.9,53.3
2,44,1,49.0937,0.02888,1.4178,44.8,46.3,47.7,49.1,50.5,51.9,53.3
2,45,1,49.1560,0.02886,1.4186,44.9,46.3,47.7,49.2,50.6,52.0,53.4
2,46,1,49.2164,0.02883,1.4189,45.0,46.4,47.8,49.2,50.6,52.1,53.5
2,47,1,49.2751,0.02880,1.4191,45.0,46.4,47.9,49.3,50.7,52.1,53.5
2,48,1,49.3321,0.02878,1.4198,45.1,46.5,47.9,49.3,50.8,52.2,53.6
2,49,1,49.3877,0.02875,1.4199,45.1,46.5,48.0,49.4,50.8,52.2,53.6
2,50,1,49.4419,0.02873,1.4205,45.2,46.6,48.0,49.4,50.9,52.3,53.7
2,51,1,49.4947,0.02870,1.4205,45.2,46.7,48.1,49.5,50.9,52.3,53.8
2,52,1,49.5464,0.02868,1.4210,45.3,46.7,48.1,49.5,51.0,52.4,53.8
2,53,1,49.5969,0.02865,1.4210,45.3,46.8,48.2,49.6,51.0,52.4,53.9
2,54,1,49.6464,0.02863,1.4214,45.4,46.8,48.2,49.6,51.1,52.5,53.9
2,55,1,49.6947,0.02861,1.4218,45.4,46.9,48.3,49.7,51.1,52.5,54.0
2,56,1,49.7421,0.02859,1.4221,45.5,46.9,48.3,49.7,51.2,52.6,54.0
2,57,1,49.7885,0.02856,1.4220,45.5,46.9,48.4,49.8,51.2,52.6,54.1
2,58,1,49.8341,0.02854,1.4223,45.6,47.0,48.4,49.8,51.3,52.7,54.1
2,59,1,49.8789,0.02852,1.4226,45.6,47.0,48.5,49.9,51.3,52.7,54.1
2,60,1,49.9229,0.02850,1.4228,45.7,47.1,48.5,49.9,51.3,52.8,54.2
